from_id,to_id,dist_km,from_depto,from_mpio,from_depto_id,to_depto,to_mpio,to_depto_id
19 - POPAYÁN,66 - PEREIRA,NA,19,POPAYÁN,19,66,PEREIRA,66
20 - ASTREA,66 - PEREIRA,NA,20,ASTREA,20,66,PEREIRA,66
23 - MONTERÍA,66 - PEREIRA,NA,23,MONTERÍA,23,66,PEREIRA,66
25 - ALBÁN,66 - PEREIRA,NA,25,ALBÁN,25,66,PEREIRA,66
27 - RIOSUCIO,66 - PEREIRA,NA,27,RIOSUCIO,27,66,PEREIRA,66
41 - NEIVA,66 - PEREIRA,NA,41,NEIVA,41,66,PEREIRA,66
44 - BARRANCAS,66 - PEREIRA,NA,44,BARRANCAS,44,66,PEREIRA,66
47 - PEDRAZA,66 - PEREIRA,NA,47,PEDRAZA,47,66,PEREIRA,66
50 - VILLAVICENCIO,66 - PEREIRA,NA,50,VILLAVICENCIO,50,66,PEREIRA,66
52 - SANDONÁ,66 - PEREIRA,NA,52,SANDONÁ,52,66,PEREIRA,66
54 - SAN JOSÉ DE CÚCUTA,66 - PEREIRA,NA,54,SAN JOSÉ DE CÚCUTA,54,66,PEREIRA,66
63 - ARMENIA,66 - PEREIRA,NA,63,ARMENIA,63,66,PEREIRA,66
05 - MEDELLÍN,68 - AGUADA,NA,05,MEDELLÍN,05,68,AGUADA,68
08 - BARRANQUILLA,68 - AGUADA,NA,08,BARRANQUILLA,08,68,AGUADA,68
"11 - BOGOTÁ, D.C.",68 - AGUADA,NA,11,"BOGOTÁ, D.C.",11,68,AGUADA,68
13 - CARTAGENA DE INDIAS,68 - AGUADA,NA,13,CARTAGENA DE INDIAS,13,68,AGUADA,68
15 - TUNJA,68 - AGUADA,NA,15,TUNJA,15,68,AGUADA,68
17 - MANIZALES,68 - AGUADA,NA,17,MANIZALES,17,68,AGUADA,68
18 - FLORENCIA,68 - AGUADA,NA,18,FLORENCIA,18,68,AGUADA,68
19 - POPAYÁN,68 - AGUADA,NA,19,POPAYÁN,19,68,AGUADA,68
20 - ASTREA,68 - AGUADA,NA,20,ASTREA,20,68,AGUADA,68
23 - MONTERÍA,68 - AGUADA,NA,23,MONTERÍA,23,68,AGUADA,68
25 - ALBÁN,68 - AGUADA,NA,25,ALBÁN,25,68,AGUADA,68
27 - RIOSUCIO,68 - AGUADA,NA,27,RIOSUCIO,27,68,AGUADA,68
41 - NEIVA,68 - AGUADA,NA,41,NEIVA,41,68,AGUADA,68
44 - BARRANCAS,68 - AGUADA,NA,44,BARRANCAS,44,68,AGUADA,68
47 - PEDRAZA,68 - AGUADA,NA,47,PEDRAZA,47,68,AGUADA,68
50 - VILLAVICENCIO,68 - AGUADA,NA,50,VILLAVICENCIO,50,68,AGUADA,68
52 - SANDONÁ,68 - AGUADA,NA,52,SANDONÁ,52,68,AGUADA,68
54 - SAN JOSÉ DE CÚCUTA,68 - AGUADA,NA,54,SAN JOSÉ DE CÚCUTA,54,68,AGUADA,68
63 - ARMENIA,68 - AGUADA,NA,63,ARMENIA,63,68,AGUADA,68
66 - PEREIRA,68 - AGUADA,NA,66,PEREIRA,66,68,AGUADA,68
05 - MEDELLÍN,70 - SINCELEJO,NA,05,MEDELLÍN,05,70,SINCELEJO,70
08 - BARRANQUILLA,70 - SINCELEJO,NA,08,BARRANQUILLA,08,70,SINCELEJO,70
"11 - BOGOTÁ, D.C.",70 - SINCELEJO,NA,11,"BOGOTÁ, D.C.",11,70,SINCELEJO,70
13 - CARTAGENA DE INDIAS,70 - SINCELEJO,NA,13,CARTAGENA DE INDIAS,13,70,SINCELEJO,70
15 - TUNJA,70 - SINCELEJO,NA,15,TUNJA,15,70,SINCELEJO,70
17 - MANIZALES,70 - SINCELEJO,NA,17,MANIZALES,17,70,SINCELEJO,70
18 - FLORENCIA,70 - SINCELEJO,NA,18,FLORENCIA,18,70,SINCELEJO,70
19 - POPAYÁN,70 - SINCELEJO,NA,19,POPAYÁN,19,70,SINCELEJO,70
20 - ASTREA,70 - SINCELEJO,NA,20,ASTREA,20,70,SINCELEJO,70
23 - MONTERÍA,70 - SINCELEJO,NA,23,MONTERÍA,23,70,SINCELEJO,70
25 - ALBÁN,70 - SINCELEJO,NA,25,ALBÁN,25,70,SINCELEJO,70
27 - RIOSUCIO,70 - SINCELEJO,NA,27,RIOSUCIO,27,70,SINCELEJO,70
41 - NEIVA,70 - SINCELEJO,NA,41,NEIVA,41,70,SINCELEJO,70
44 - BARRANCAS,70 - SINCELEJO,NA,44,BARRANCAS,44,70,SINCELEJO,70
47 - PEDRAZA,70 - SINCELEJO,NA,47,PEDRAZA,47,70,SINCELEJO,70
50 - VILLAVICENCIO,70 - SINCELEJO,NA,50,VILLAVICENCIO,50,70,SINCELEJO,70
52 - SANDONÁ,70 - SINCELEJO,NA,52,SANDONÁ,52,70,SINCELEJO,70
54 - SAN JOSÉ DE CÚCUTA,70 - SINCELEJO,NA,54,SAN JOSÉ DE CÚCUTA,54,70,SINCELEJO,70
63 - ARMENIA,70 - SINCELEJO,NA,63,ARMENIA,63,70,SINCELEJO,70
66 - PEREIRA,70 - SINCELEJO,NA,66,PEREIRA,66,70,SINCELEJO,70
