"ano";"COD_DANE_DPTO_D";"DEPARTAMENTO_D";"COD_DANE_MUNIC_D";"MUNICIPIO_D";"quinquenio";"clase";"sexo";"poblacion"
1985;"08";"ATLÁNTICO";"08137";"CAMPO DE LA CRUZ";"45-49";"Centros Poblados y Rural Disperso";"hombres";39
1985;"08";"ATLÁNTICO";"08137";"CAMPO DE LA CRUZ";"45-49";"Centros Poblados y Rural Disperso";"mujeres";34
1985;"08";"ATLÁNTICO";"08137";"CAMPO DE LA CRUZ";"5-9";"Cabecera Municipal";"hombres";1240
1985;"08";"ATLÁNTICO";"08137";"CAMPO DE LA CRUZ";"5-9";"Cabecera Municipal";"mujeres";1198
1985;"08";"ATLÁNTICO";"08137";"CAMPO DE LA CRUZ";"5-9";"Centros Poblados y Rural Disperso";"hombres";130
1985;"08";"ATLÁNTICO";"08137";"CAMPO DE LA CRUZ";"5-9";"Centros Poblados y Rural Disperso";"mujeres";120
1985;"08";"ATLÁNTICO";"08137";"CAMPO DE LA CRUZ";"50-54";"Cabecera Municipal";"hombres";327
1985;"08";"ATLÁNTICO";"08137";"CAMPO DE LA CRUZ";"50-54";"Cabecera Municipal";"mujeres";346
1985;"08";"ATLÁNTICO";"08137";"CAMPO DE LA CRUZ";"50-54";"Centros Poblados y Rural Disperso";"hombres";27
1985;"08";"ATLÁNTICO";"08137";"CAMPO DE LA CRUZ";"50-54";"Centros Poblados y Rural Disperso";"mujeres";24
1985;"08";"ATLÁNTICO";"08137";"CAMPO DE LA CRUZ";"55-59";"Cabecera Municipal";"hombres";268
1985;"08";"ATLÁNTICO";"08137";"CAMPO DE LA CRUZ";"55-59";"Cabecera Municipal";"mujeres";278
1985;"08";"ATLÁNTICO";"08137";"CAMPO DE LA CRUZ";"55-59";"Centros Poblados y Rural Disperso";"hombres";22
1985;"08";"ATLÁNTICO";"08137";"CAMPO DE LA CRUZ";"55-59";"Centros Poblados y Rural Disperso";"mujeres";18
1985;"08";"ATLÁNTICO";"08137";"CAMPO DE LA CRUZ";"60-64";"Cabecera Municipal";"hombres";210
1985;"08";"ATLÁNTICO";"08137";"CAMPO DE LA CRUZ";"60-64";"Cabecera Municipal";"mujeres";220
1985;"08";"ATLÁNTICO";"08137";"CAMPO DE LA CRUZ";"60-64";"Centros Poblados y Rural Disperso";"hombres";18
1985;"08";"ATLÁNTICO";"08137";"CAMPO DE LA CRUZ";"60-64";"Centros Poblados y Rural Disperso";"mujeres";15
1985;"08";"ATLÁNTICO";"08137";"CAMPO DE LA CRUZ";"65-69";"Cabecera Municipal";"hombres";169
1985;"08";"ATLÁNTICO";"08137";"CAMPO DE LA CRUZ";"65-69";"Cabecera Municipal";"mujeres";179
1985;"08";"ATLÁNTICO";"08137";"CAMPO DE LA CRUZ";"65-69";"Centros Poblados y Rural Disperso";"hombres";13
1985;"08";"ATLÁNTICO";"08137";"CAMPO DE LA CRUZ";"65-69";"Centros Poblados y Rural Disperso";"mujeres";15
1985;"08";"ATLÁNTICO";"08137";"CAMPO DE LA CRUZ";"70-74";"Cabecera Municipal";"hombres";121
1985;"08";"ATLÁNTICO";"08137";"CAMPO DE LA CRUZ";"70-74";"Cabecera Municipal";"mujeres";130
1985;"08";"ATLÁNTICO";"08137";"CAMPO DE LA CRUZ";"70-74";"Centros Poblados y Rural Disperso";"hombres";10
1985;"08";"ATLÁNTICO";"08137";"CAMPO DE LA CRUZ";"70-74";"Centros Poblados y Rural Disperso";"mujeres";12
1985;"08";"ATLÁNTICO";"08137";"CAMPO DE LA CRUZ";"75-79";"Cabecera Municipal";"hombres";72
1985;"08";"ATLÁNTICO";"08137";"CAMPO DE LA CRUZ";"75-79";"Cabecera Municipal";"mujeres";83
1985;"08";"ATLÁNTICO";"08137";"CAMPO DE LA CRUZ";"75-79";"Centros Poblados y Rural Disperso";"hombres";9
1985;"08";"ATLÁNTICO";"08137";"CAMPO DE LA CRUZ";"75-79";"Centros Poblados y Rural Disperso";"mujeres";9
1985;"08";"ATLÁNTICO";"08137";"CAMPO DE LA CRUZ";"80+";"Cabecera Municipal";"hombres";112
1985;"08";"ATLÁNTICO";"08137";"CAMPO DE LA CRUZ";"80+";"Cabecera Municipal";"mujeres";156
1985;"08";"ATLÁNTICO";"08137";"CAMPO DE LA CRUZ";"80+";"Centros Poblados y Rural Disperso";"hombres";12
1985;"08";"ATLÁNTICO";"08137";"CAMPO DE LA CRUZ";"80+";"Centros Poblados y Rural Disperso";"mujeres";12
1985;"08";"ATLÁNTICO";"08141";"CANDELARIA";"0-4";"Cabecera Municipal";"hombres";369
1985;"08";"ATLÁNTICO";"08141";"CANDELARIA";"0-4";"Cabecera Municipal";"mujeres";343
1985;"08";"ATLÁNTICO";"08141";"CANDELARIA";"0-4";"Centros Poblados y Rural Disperso";"hombres";264
1985;"08";"ATLÁNTICO";"08141";"CANDELARIA";"0-4";"Centros Poblados y Rural Disperso";"mujeres";241
1985;"08";"ATLÁNTICO";"08141";"CANDELARIA";"10-14";"Cabecera Municipal";"hombres";384
1985;"08";"ATLÁNTICO";"08141";"CANDELARIA";"10-14";"Cabecera Municipal";"mujeres";289
1985;"08";"ATLÁNTICO";"08141";"CANDELARIA";"10-14";"Centros Poblados y Rural Disperso";"hombres";216
1985;"08";"ATLÁNTICO";"08141";"CANDELARIA";"10-14";"Centros Poblados y Rural Disperso";"mujeres";189
